No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,FOSL,"Fossil Group, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,547.47M,16.80,11.02,1.47%,"1,512,124"
2,HBAN,Huntington Bancshares Incorporated,Financial,Regional - Midwest Banks,USA,13.88B,10.81,13.33,0.53%,"12,789,028"
3,NAVI,Navient Corporation,Financial,Credit Services,USA,3.22B,9.53,13.36,-0.60%,"3,618,735"
4,NWSA,News Corporation,Services,Broadcasting - TV,USA,8.01B,-,13.53,-0.22%,"7,950,034"
5,NWS,News Corporation,Services,Broadcasting - TV,USA,-,-,13.92,-0.22%,"1,839,821"
6,NWL,Newell Brands Inc.,Consumer Goods,Housewares & Accessories,USA,6.50B,-,15.36,1.92%,"6,128,410"
7,PBCT,"People's United Financial, Inc.",Financial,Savings & Loans,USA,6.53B,13.07,16.44,0.37%,"6,862,952"
8,MYL,Mylan N.V.,Healthcare,Drugs - Generic,USA,9.39B,41.92,18.32,0.60%,"10,889,200"
9,SYMC,Symantec Corporation,Technology,Security Software & Services,USA,13.23B,-,20.84,1.36%,"12,251,011"
10,URBN,"Urban Outfitters, Inc.",Services,Apparel Stores,USA,2.30B,8.84,23.53,0.38%,"3,420,420"
11,LKQ,LKQ Corporation,Consumer Goods,Auto Parts,USA,8.37B,19.63,26.64,-0.11%,"3,790,912"
12,FITB,Fifth Third Bancorp,Financial,Regional - Midwest Banks,USA,20.05B,8.55,27.36,0.22%,"11,819,732"
13,DISCK,"Discovery, Inc.",Services,CATV Systems,USA,-,24.07,28.28,-0.46%,"5,228,530"
14,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductor - Broad Line,USA,32.46B,112.79,29.10,-3.03%,"81,605,057"
15,DISCA,"Discovery, Inc.",Services,CATV Systems,USA,15.34B,25.01,30.69,-0.78%,"5,371,119"
16,VIAB,Viacom Inc.,Services,Entertainment - Diversified,USA,12.61B,7.81,30.80,0.29%,"7,415,076"
17,KHC,The Kraft Heinz Company,Consumer Goods,Food - Major Diversified,USA,37.98B,-,31.48,1.12%,"12,077,450"
18,AAL,American Airlines Group Inc.,Services,Major Airlines,USA,14.30B,10.34,31.57,-1.80%,"7,459,344"
19,FAST,Fastenal Company,Services,Industrial Equipment Wholesale,USA,19.02B,24.60,32.60,-1.93%,"6,543,925"
20,MU,"Micron Technology, Inc.",Technology,Semiconductor- Memory Chips,USA,37.79B,3.12,33.25,-2.64%,"38,615,147"
21,NKTR,Nektar Therapeutics,Healthcare,Biotechnology,USA,6.17B,9.89,34.86,-1.50%,"2,253,097"
22,FOX,Fox Corporation,Services,Entertainment - Diversified,USA,-,13.81,35.88,1.50%,"4,267,319"
23,FOXA,Fox Corporation,Services,Entertainment - Diversified,USA,22.02B,22.36,36.18,1.69%,"11,361,102"
24,DISH,DISH Network Corporation,Services,CATV Systems,USA,18.34B,13.26,39.01,-0.20%,"3,415,256"
25,WDC,Western Digital Corporation,Technology,Data Storage Devices,USA,11.69B,95.11,40.04,1.01%,"9,147,451"
26,EBAY,eBay Inc.,Services,"Specialty Retail, Other",USA,34.79B,17.74,40.05,0.33%,"20,881,991"
27,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA,40.45B,12.04,42.96,-0.58%,"11,918,696"
28,CMCSA,Comcast Corporation,Services,Entertainment - Diversified,USA,198.25B,16.32,43.56,-0.27%,"24,230,932"
29,ZION,"Zions Bancorporation, National Association",Financial,Regional - Pacific Banks,USA,8.11B,10.99,44.43,0.07%,"3,097,849"
30,ATVI,"Activision Blizzard, Inc.",Technology,Multimedia & Graphics Software,USA,34.98B,23.97,45.91,0.53%,"7,801,526"
31,ETFC,E*TRADE Financial Corporation,Financial,Investment Brokerage - National,USA,11.38B,11.26,46.23,1.72%,"3,254,420"
32,STX,Seagate Technology plc,Technology,Data Storage Devices,Ireland,12.79B,7.51,46.46,0.58%,"4,540,275"
33,TRIP,"TripAdvisor, Inc.",Technology,Internet Information Providers,USA,6.50B,47.44,47.30,1.18%,"1,784,321"
34,INTC,Intel Corporation,Technology,Semiconductor - Broad Line,USA,213.19B,10.88,47.46,0.57%,"30,280,751"
35,HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,USA,13.19B,-,49.07,-0.28%,"2,214,057"
36,LNT,Alliant Energy Corporation,Utilities,Electric Utilities,USA,11.87B,22.99,49.96,-0.04%,"1,899,296"
37,WBA,"Walgreens Boots Alliance, Inc.",Services,Drug Stores,USA,48.35B,10.48,52.45,-0.81%,"13,981,787"
38,FLIR,"FLIR Systems, Inc.",Technology,Scientific & Technical Instruments,USA,7.31B,24.48,53.64,-0.59%,"1,148,846"
39,MDLZ,"Mondelez International, Inc.",Consumer Goods,Confectioners,USA,79.89B,25.47,55.25,-0.38%,"11,563,702"
40,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA,245.76B,20.83,57.03,-0.66%,"58,096,568"
41,PFG,"Principal Financial Group, Inc.",Financial,Life Insurance,USA,16.08B,10.43,57.63,-0.16%,"2,324,790"
42,MXIM,"Maxim Integrated Products, Inc.",Technology,Semiconductor - Broad Line,USA,15.89B,24.29,58.41,0.12%,"3,096,954"
43,XRAY,DENTSPLY SIRONA Inc.,Healthcare,Medical Instruments & Supplies,USA,13.44B,-,58.88,2.52%,"4,633,609"
44,INFO,IHS Markit Ltd.,Services,Business Services,United Kingdom,23.94B,59.88,59.88,-0.02%,"2,056,638"
45,NTAP,"NetApp, Inc.",Technology,Data Storage Devices,USA,15.04B,13.52,61.46,-1.93%,"4,883,745"
46,XEL,Xcel Energy Inc.,Utilities,Electric Utilities,USA,31.55B,24.55,61.54,0.38%,"5,234,801"
47,FSLR,"First Solar, Inc.",Technology,Semiconductor - Specialized,USA,6.64B,-,62.91,-0.21%,"791,301"
48,MNST,Monster Beverage Corporation,Consumer Goods,Beverages - Soft Drinks,USA,34.53B,34.20,63.78,0.41%,"3,544,134"
49,QRVO,"Qorvo, Inc.",Technology,Semiconductor - Broad Line,USA,7.73B,69.45,63.89,-1.47%,"2,221,683"
50,CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,USA,36.53B,18.55,64.46,0.45%,"8,783,940"
51,GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - Major,USA,88.53B,15.29,69.38,1.18%,"8,434,551"
52,REG,Regency Centers Corporation,Financial,REIT - Retail,USA,11.71B,40.99,69.52,-0.54%,"2,922,019"
53,HSIC,"Henry Schein, Inc.",Services,Medical Equipment Wholesale,USA,10.58B,21.29,69.88,-1.49%,"2,548,901"
54,PCAR,PACCAR Inc,Consumer Goods,Trucks & Other Vehicles,USA,25.02B,10.81,71.34,-1.23%,"1,729,809"
55,CDNS,"Cadence Design Systems, Inc.",Technology,Application Software,USA,20.42B,51.35,71.37,-1.79%,"2,886,152"
56,CERN,Cerner Corporation,Technology,Healthcare Information Services,USA,23.35B,37.51,72.09,0.47%,"3,319,319"
57,QCOM,QUALCOMM Incorporated,Technology,Communication Equipment,USA,88.43B,40.13,72.72,-0.03%,"14,797,829"
58,CPRT,"Copart, Inc.",Services,Auto Dealerships,USA,17.13B,32.63,73.94,-1.08%,"2,928,382"
59,SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductor - Integrated Circuits,USA,13.10B,12.77,75.22,-0.82%,"3,221,778"
60,EXPD,"Expeditors International of Washington, Inc.",Services,Air Delivery & Freight Services,USA,13.13B,20.84,75.39,-1.23%,"1,417,374"
61,FTNT,"Fortinet, Inc.",Technology,Application Software,USA,13.14B,34.94,76.13,-1.05%,"2,729,734"
62,AKAM,"Akamai Technologies, Inc.",Technology,Internet Information Providers,USA,13.11B,36.86,78.55,-1.66%,"3,465,946"
63,CSX,CSX Corporation,Services,Railroads,USA,63.96B,19.24,78.67,-0.48%,"5,044,980"
64,GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,Switzerland,16.19B,21.90,81.21,-0.65%,"1,844,224"
65,CHRW,"C.H. Robinson Worldwide, Inc.",Services,Air Delivery & Freight Services,USA,11.47B,16.90,83.03,-1.15%,"1,605,549"
66,SBUX,Starbucks Corporation,Services,Specialty Eateries,USA,102.58B,36.29,83.82,-1.03%,"12,672,764"
67,MCHP,Microchip Technology Incorporated,Technology,Semiconductor - Broad Line,USA,20.36B,57.73,85.10,-0.56%,"3,280,511"
68,PAYX,"Paychex, Inc.",Services,Staffing & Outsourcing Services,USA,31.47B,31.67,86.52,-1.19%,"2,885,978"
69,NTRS,Northern Trust Corporation,Financial,Asset Management,USA,18.92B,13.44,86.69,1.11%,"1,673,838"
70,UAL,"United Continental Holdings, Inc.",Services,Major Airlines,USA,22.93B,10.45,86.72,-0.48%,"2,462,712"
71,INCY,Incyte Corporation,Healthcare,Biotechnology,USA,18.99B,75.81,88.70,2.46%,"2,247,662"
72,JBHT,"J.B. Hunt Transport Services, Inc.",Services,Trucking,USA,9.88B,19.29,88.91,-2.16%,"1,522,589"
73,FISV,"Fiserv, Inc.",Services,Business Services,USA,35.98B,37.04,91.48,-0.23%,"4,109,408"
74,EA,Electronic Arts Inc.,Technology,Multimedia & Graphics Software,USA,28.60B,28.65,95.33,2.30%,"6,227,122"
75,NDAQ,"Nasdaq, Inc.",Financial,Diversified Investments,USA,16.20B,20.12,98.29,0.56%,"985,041"
