,true_test_price,pred_from_gen,pred_shift-4,pred_shift-3,pred_shift-2,pred_shift-1,pred_shift0,pred_shift1,pred_shift2,pred_shift3,true_train_price
2019-08-19 15:30:00,115.51000000000002,115.79752,115.47304,115.100464,115.34533,115.85621,115.79752,,,,
2019-08-20 09:30:00,115.08000000000001,115.85621,115.40609,115.47304,115.100464,115.34533,115.85621,115.79752,,,
2019-08-20 10:30:00,114.79,115.34533,115.23452,115.40609,115.47304,115.100464,115.34533,115.85621,115.79752,,
2019-08-20 11:30:00,115.07,115.100464,114.94802,115.23452,115.40609,115.47304,115.100464,115.34533,115.85621,115.79752,
2019-08-20 12:30:00,115.07,115.47304,115.0264,114.94802,115.23452,115.40609,115.47304,115.100464,115.34533,115.85621,
2019-08-20 13:30:00,114.92000000000002,115.40609,115.819916,115.0264,114.94802,115.23452,115.40609,115.47304,115.100464,115.34533,
2019-08-20 14:30:00,114.65,115.23452,115.38202,115.819916,115.0264,114.94802,115.23452,115.40609,115.47304,115.100464,
2019-08-20 15:30:00,114.68000000000002,114.94802,115.58327,115.38202,115.819916,115.0264,114.94802,115.23452,115.40609,115.47304,
2019-08-21 09:30:00,115.37000000000002,115.0264,115.55135,115.58327,115.38202,115.819916,115.0264,114.94802,115.23452,115.40609,
2019-08-21 10:30:00,115.12,115.819916,115.55709,115.55135,115.58327,115.38202,115.819916,115.0264,114.94802,115.23452,
2019-08-21 11:30:00,115.22999999999999,115.38202,115.56102,115.55709,115.55135,115.58327,115.38202,115.819916,115.0264,114.94802,
2019-08-21 12:30:00,115.22999999999999,115.58327,115.54301,115.56102,115.55709,115.55135,115.58327,115.38202,115.819916,115.0264,
2019-08-21 13:30:00,115.22999999999999,115.55135,115.971245,115.54301,115.56102,115.55709,115.55135,115.58327,115.38202,115.819916,
2019-08-21 14:30:00,115.22999999999999,115.55709,115.51402,115.971245,115.54301,115.56102,115.55709,115.55135,115.58327,115.38202,
2019-08-21 15:30:00,115.21,115.56102,115.41989,115.51402,115.971245,115.54301,115.56102,115.55709,115.55135,115.58327,
2019-08-22 09:30:00,115.57,115.54301,115.44254,115.41989,115.51402,115.971245,115.54301,115.56102,115.55709,115.55135,
2019-08-22 10:30:00,115.25,115.971245,115.923325,115.44254,115.41989,115.51402,115.971245,115.54301,115.56102,115.55709,
2019-08-22 11:30:00,115.09999999999998,115.51402,115.67851,115.923325,115.44254,115.41989,115.51402,115.971245,115.54301,115.56102,
2019-08-22 12:30:00,115.09999999999998,115.41989,115.81547,115.67851,115.923325,115.44254,115.41989,115.51402,115.971245,115.54301,
2019-08-22 13:30:00,115.51000000000002,115.44254,114.74533,115.81547,115.67851,115.923325,115.44254,115.41989,115.51402,115.971245,
2019-08-22 14:30:00,115.38000000000001,115.923325,115.25087,114.74533,115.81547,115.67851,115.923325,115.44254,115.41989,115.51402,
2019-08-22 15:30:00,115.46000000000001,115.67851,113.66967,115.25087,114.74533,115.81547,115.67851,115.923325,115.44254,115.41989,
2019-08-23 09:30:00,114.55999999999999,115.81547,113.446495,113.66967,115.25087,114.74533,115.81547,115.67851,115.923325,115.44254,
2019-08-23 10:30:00,114.84000000000002,114.74533,113.03914,113.446495,113.66967,115.25087,114.74533,115.81547,115.67851,115.923325,
2019-08-23 11:30:00,113.51,115.25087,,113.03914,113.446495,113.66967,115.25087,114.74533,115.81547,115.67851,
2019-08-23 12:30:00,113.11000000000001,113.66967,,,113.03914,113.446495,113.66967,115.25087,114.74533,115.81547,
2019-08-23 13:30:00,112.72,113.446495,,,,113.03914,113.446495,113.66967,115.25087,114.74533,
2019-08-23 14:30:00,112.90999999999998,113.03914,,,,,113.03914,113.446495,113.66967,115.25087,
