,weight,gain,cover
ma7,0.1299639,0.00076000445,0.031559665
ma21,0.06931408,0.0012359676,0.048462067
26ema,0.015884476,0.0004963936,0.06864558
12ema,0.041877255,0.0004922958,0.05977427
MACD,0.08592058,0.000378574,0.06791235
20sd,0.057761732,0.00057724805,0.040172137
upper_band,0.033935018,0.000587251,0.07095769
lower_band,0.03537906,0.0004905422,0.057388876
ema,0.15162455,0.19093502,0.049437094
momentum,0.26714802,0.8017267,0.052430492
num_tweets,0.011552347,0.00016229169,0.0006208494
case_ratio,0.010108303,0.00026778498,0.015249091
compound_score,0.0129963895,0.00026266955,0.06036566
pos,0.015884476,0.00017678543,0.07330364
neu,0.0129963895,0.00031410498,0.07921401
neg,0.018050542,0.00033588798,0.079806626
sentiment_class,0.0,0.0,0.0
pred_classes_int,0.0057761734,0.00028549985,0.05893293
total_favorite_count,0.007942238,0.00029628538,0.01758639
total_retweet_count,0.015884476,0.00021867859,0.068180546
